ModuleColor	Gene
black	Bradi1g00820.2
black	Bradi1g00847.1
black	Bradi1g01530.1
black	Bradi1g01880.1
black	Bradi1g02080.1
black	Bradi1g02280.2
black	Bradi1g02400.2
black	Bradi1g02400.3
black	Bradi1g02550.1
black	Bradi1g02590.2
black	Bradi1g03940.1
black	Bradi1g03940.2
black	Bradi1g03940.3
black	Bradi1g04780.1
black	Bradi1g06750.1
black	Bradi1g07441.1
black	Bradi1g07810.1
black	Bradi1g08718.1
black	Bradi1g09950.1
black	Bradi1g11000.1
black	Bradi1g12615.1
black	Bradi1g13097.1
black	Bradi1g14710.1
black	Bradi1g15030.1
black	Bradi1g15360.1
black	Bradi1g15360.2
black	Bradi1g16580.1
black	Bradi1g18550.2
black	Bradi1g18660.1
black	Bradi1g18660.2
black	Bradi1g18660.3
black	Bradi1g18660.4
black	Bradi1g19080.1
black	Bradi1g19080.2
black	Bradi1g19140.1
black	Bradi1g19670.1
black	Bradi1g19690.1
black	Bradi1g19713.1
black	Bradi1g20860.1
black	Bradi1g21177.1
black	Bradi1g21290.1
black	Bradi1g23675.6
black	Bradi1g24110.1
black	Bradi1g24860.3
black	Bradi1g24887.1
black	Bradi1g24980.1
black	Bradi1g25002.3
black	Bradi1g25002.4
black	Bradi1g25090.1
black	Bradi1g28330.1
black	Bradi1g28410.1
black	Bradi1g28416.1
black	Bradi1g28416.2
black	Bradi1g28416.3
black	Bradi1g29210.1
black	Bradi1g29500.2
black	Bradi1g30656.1
black	Bradi1g32939.1
black	Bradi1g32939.2
black	Bradi1g33117.3
black	Bradi1g33657.1
black	Bradi1g33657.2
black	Bradi1g33670.1
black	Bradi1g33670.2
black	Bradi1g35905.1
black	Bradi1g39208.1
black	Bradi1g41820.2
black	Bradi1g41820.4
black	Bradi1g42660.1
black	Bradi1g43650.1
black	Bradi1g43650.2
black	Bradi1g43950.2
black	Bradi1g43950.3
black	Bradi1g44005.1
black	Bradi1g45470.1
black	Bradi1g45833.1
black	Bradi1g49890.2
black	Bradi1g51670.1
black	Bradi1g52030.1
black	Bradi1g52140.1
black	Bradi1g52707.4
black	Bradi1g53320.1
black	Bradi1g53320.2
black	Bradi1g53470.1
black	Bradi1g53920.1
black	Bradi1g54030.1
black	Bradi1g55740.1
black	Bradi1g56130.1
black	Bradi1g56250.5
black	Bradi1g59870.1
black	Bradi1g60100.1
black	Bradi1g60840.1
black	Bradi1g61360.5
black	Bradi1g62574.1
black	Bradi1g63380.4
black	Bradi1g63840.1
black	Bradi1g63940.4
black	Bradi1g63940.6
black	Bradi1g64267.2
black	Bradi1g64267.3
black	Bradi1g64267.7
black	Bradi1g64267.8
black	Bradi1g65680.2
black	Bradi1g65940.1
black	Bradi1g65940.3
black	Bradi1g65940.4
black	Bradi1g66290.1
black	Bradi1g66290.2
black	Bradi1g66687.1
black	Bradi1g67020.2
black	Bradi1g69140.1
black	Bradi1g71300.1
black	Bradi1g71667.1
black	Bradi1g71790.1
black	Bradi1g73200.1
black	Bradi1g73830.1
black	Bradi1g73870.1
black	Bradi1g74080.1
black	Bradi1g76140.3
black	Bradi1g76460.1
black	Bradi1g76460.3
black	Bradi1g76460.4
black	Bradi1g76460.5
black	Bradi1g76470.1
black	Bradi1g76470.2
black	Bradi1g77350.1
black	Bradi1g77350.3
black	Bradi1g77440.1
black	Bradi1g78340.2
black	Bradi2g01511.1
black	Bradi2g02600.1
black	Bradi2g02600.2
black	Bradi2g02630.1
black	Bradi2g02640.1
black	Bradi2g03687.1
black	Bradi2g04480.1
black	Bradi2g04480.2
black	Bradi2g05620.1
black	Bradi2g05620.3
black	Bradi2g05980.3
black	Bradi2g06230.2
black	Bradi2g08340.1
black	Bradi2g10080.1
black	Bradi2g10960.1
black	Bradi2g11490.1
black	Bradi2g11646.1
black	Bradi2g12067.1
black	Bradi2g12300.1
black	Bradi2g12310.1
black	Bradi2g12600.6
black	Bradi2g14490.3
black	Bradi2g15307.1
black	Bradi2g17200.3
black	Bradi2g17220.1
black	Bradi2g19640.2
black	Bradi2g19640.3
black	Bradi2g20110.1
black	Bradi2g23507.2
black	Bradi2g23920.1
black	Bradi2g24380.1
black	Bradi2g24380.3
black	Bradi2g25520.1
black	Bradi2g26450.1
black	Bradi2g27030.1
black	Bradi2g30400.1
black	Bradi2g31985.1
black	Bradi2g35820.1
black	Bradi2g36760.2
black	Bradi2g38432.1
black	Bradi2g40790.1
black	Bradi2g40942.1
black	Bradi2g41720.3
black	Bradi2g41720.4
black	Bradi2g42040.1
black	Bradi2g43750.1
black	Bradi2g44320.1
black	Bradi2g44856.2
black	Bradi2g44856.4
black	Bradi2g44856.7
black	Bradi2g45420.1
black	Bradi2g45420.2
black	Bradi2g45830.1
black	Bradi2g46590.1
black	Bradi2g46690.1
black	Bradi2g46690.2
black	Bradi2g47740.1
black	Bradi2g47790.2
black	Bradi2g47790.3
black	Bradi2g48230.1
black	Bradi2g49310.3
black	Bradi2g49790.2
black	Bradi2g50620.1
black	Bradi2g50770.5
black	Bradi2g52730.1
black	Bradi2g53360.2
black	Bradi2g53360.3
black	Bradi2g53360.4
black	Bradi2g53360.6
black	Bradi2g53360.7
black	Bradi2g53421.1
black	Bradi2g54410.1
black	Bradi2g54410.2
black	Bradi2g54410.4
black	Bradi2g54580.1
black	Bradi2g55150.1
black	Bradi2g56260.1
black	Bradi2g56620.1
black	Bradi2g56960.1
black	Bradi2g57510.1
black	Bradi2g57952.3
black	Bradi2g58077.3
black	Bradi2g58200.4
black	Bradi2g58580.1
black	Bradi2g59127.1
black	Bradi2g59557.1
black	Bradi2g59557.2
black	Bradi2g59740.2
black	Bradi3g00530.1
black	Bradi3g00660.1
black	Bradi3g01640.2
black	Bradi3g01640.3
black	Bradi3g02226.1
black	Bradi3g02817.1
black	Bradi3g02817.2
black	Bradi3g02817.3
black	Bradi3g02817.4
black	Bradi3g03317.1
black	Bradi3g04387.1
black	Bradi3g04387.2
black	Bradi3g04500.1
black	Bradi3g04500.2
black	Bradi3g10250.1
black	Bradi3g10330.1
black	Bradi3g10330.2
black	Bradi3g10530.1
black	Bradi3g11060.1
black	Bradi3g12800.1
black	Bradi3g13170.1
black	Bradi3g15520.1
black	Bradi3g18820.1
black	Bradi3g18820.2
black	Bradi3g18820.3
black	Bradi3g18820.4
black	Bradi3g18820.5
black	Bradi3g18820.7
black	Bradi3g18820.8
black	Bradi3g19180.1
black	Bradi3g19310.1
black	Bradi3g19640.1
black	Bradi3g19640.2
black	Bradi3g19640.3
black	Bradi3g20520.1
black	Bradi3g20720.1
black	Bradi3g21640.1
black	Bradi3g22680.1
black	Bradi3g25370.2
black	Bradi3g25370.3
black	Bradi3g26800.1
black	Bradi3g27400.1
black	Bradi3g28780.3
black	Bradi3g30027.2
black	Bradi3g30070.1
black	Bradi3g30070.3
black	Bradi3g30400.1
black	Bradi3g30500.1
black	Bradi3g32100.1
black	Bradi3g34400.1
black	Bradi3g34517.2
black	Bradi3g34910.1
black	Bradi3g34920.1
black	Bradi3g34940.1
black	Bradi3g35510.3
black	Bradi3g36130.1
black	Bradi3g36420.2
black	Bradi3g36420.3
black	Bradi3g38400.1
black	Bradi3g38527.3
black	Bradi3g38580.1
black	Bradi3g38777.1
black	Bradi3g38777.3
black	Bradi3g38777.4
black	Bradi3g40190.6
black	Bradi3g41860.1
black	Bradi3g42050.3
black	Bradi3g42420.1
black	Bradi3g42590.1
black	Bradi3g42920.1
black	Bradi3g43137.2
black	Bradi3g43137.3
black	Bradi3g43137.4
black	Bradi3g43137.5
black	Bradi3g43137.6
black	Bradi3g45840.1
black	Bradi3g46200.1
black	Bradi3g46200.2
black	Bradi3g46220.1
black	Bradi3g46747.1
black	Bradi3g46880.1
black	Bradi3g47880.1
black	Bradi3g47890.8
black	Bradi3g47910.1
black	Bradi3g47910.2
black	Bradi3g48110.1
black	Bradi3g48680.1
black	Bradi3g48680.2
black	Bradi3g50200.1
black	Bradi3g50440.1
black	Bradi3g50450.1
black	Bradi3g52400.1
black	Bradi3g52400.2
black	Bradi3g52760.3
black	Bradi3g55190.1
black	Bradi3g55230.2
black	Bradi3g55310.1
black	Bradi3g55310.2
black	Bradi3g55530.1
black	Bradi3g55660.1
black	Bradi3g57600.1
black	Bradi3g58290.1
black	Bradi3g59057.1
black	Bradi3g59057.3
black	Bradi3g59130.1
black	Bradi3g60180.4
black	Bradi3g60470.1
black	Bradi3g60920.1
black	Bradi4g00410.1
black	Bradi4g01117.2
black	Bradi4g02060.2
black	Bradi4g03150.1
black	Bradi4g03820.1
black	Bradi4g04360.1
black	Bradi4g04360.2
black	Bradi4g04360.3
black	Bradi4g04360.4
black	Bradi4g04360.5
black	Bradi4g06980.1
black	Bradi4g07167.1
black	Bradi4g07167.2
black	Bradi4g07167.3
black	Bradi4g07167.4
black	Bradi4g07440.3
black	Bradi4g08030.1
black	Bradi4g08050.1
black	Bradi4g08050.2
black	Bradi4g08250.2
black	Bradi4g08500.2
black	Bradi4g08500.3
black	Bradi4g08500.4
black	Bradi4g08800.1
black	Bradi4g09125.1
black	Bradi4g11590.2
black	Bradi4g16020.1
black	Bradi4g17260.1
black	Bradi4g19010.1
black	Bradi4g26354.5
black	Bradi4g28160.2
black	Bradi4g30000.1
black	Bradi4g31040.1
black	Bradi4g31110.3
black	Bradi4g31110.4
black	Bradi4g31257.1
black	Bradi4g31937.2
black	Bradi4g32690.1
black	Bradi4g33850.1
black	Bradi4g33850.2
black	Bradi4g33850.3
black	Bradi4g33899.2
black	Bradi4g33907.2
black	Bradi4g34022.1
black	Bradi4g34790.1
black	Bradi4g36050.1
black	Bradi4g36517.2
black	Bradi4g37040.2
black	Bradi4g37040.3
black	Bradi4g37555.1
black	Bradi4g37555.2
black	Bradi4g38140.2
black	Bradi4g38140.3
black	Bradi4g38140.4
black	Bradi4g38200.1
black	Bradi4g38440.6
black	Bradi4g38440.7
black	Bradi4g38440.8
black	Bradi4g39130.1
black	Bradi4g39130.2
black	Bradi4g39227.4
black	Bradi4g39227.6
black	Bradi4g39630.1
black	Bradi4g40580.1
black	Bradi4g40580.2
black	Bradi4g40800.1
black	Bradi4g40870.2
black	Bradi4g41820.1
black	Bradi4g42950.1
black	Bradi4g43580.2
black	Bradi4g44445.1
black	Bradi4g44820.1
black	Bradi4g44960.1
black	Bradi4g45037.1
black	Bradi5g00600.1
black	Bradi5g00750.1
black	Bradi5g01880.1
black	Bradi5g01950.1
black	Bradi5g02090.2
black	Bradi5g02300.2
black	Bradi5g02490.1
black	Bradi5g02490.2
